STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160213,0.16,44,49,39
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160214,0.45,43,47,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160215,0.10,40,45,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160216,0.00,38,44,34
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160217,0.00,34,41,30
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160218,0.00,35,-9999,30
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160219,0.03,42,50,34
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160220,0.05,50,55,42
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160221,0.02,53,56,51
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160222,0.00,52,55,50
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160223,0.24,45,52,41
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160224,0.02,41,47,36
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160225,0.01,40,45,35
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160226,0.00,38,45,32
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160227,0.00,40,47,34
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160228,0.00,39,46,33
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160229,0.00,40,47,33
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160301,0.00,42,-9999,36
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160302,0.16,46,52,35
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160303,0.20,44,47,41
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160304,0.20,43,49,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160305,0.48,40,46,34
